Aff,Neg,Judges,Votes,Result,"Aff								Points & Ranks","Neg								Points & Ranks"
Barsto BM,Westwo LX,"Nicholas Jennings																																		Sim Guerrero																																		Jia (Anita) Pan","Aff																												Aff																												Neg","2-1																															AFF","Phoebe B																																																												0																																								0																																								0																																																														1																																								2																																								1																																																																												Rishi M																																																												0																																								0																																								0																																																														2																																								1																																								2","Tori X																																																												0																																								0																																								0																																																														4																																								4																																								4																																																																												James L																																																												0																																								0																																								0																																																														3																																								3																																								3"
Garfie PT,Shark JB,"David Kilpatrick																																		Allie Chase																																		Allen Kim","Neg																												Aff																												Neg","2-1																															NEG","Benjamin T																																																												0																																								0																																								0																																																														3																																								3																																								3																																																																												Quintin P																																																												0																																								0																																								0																																																														2																																								1																																								4","Sarah J																																																												0																																								0																																								0																																																														1																																								2																																								1																																																																												Zachary B																																																												0																																								0																																								0																																																														4																																								4																																								2"
Dulles JD,ArcMit KB,"Spencer Powers																																		Cat Smith																																		Rajeev Godse","Neg																												Neg																												Neg","3-0																															NEG","Leena J																																																												0																																								0																																								0																																																														4																																								4																																								3																																																																												Mahika D																																																												0																																								0																																								0																																																														3																																								3																																								4","Tanish K																																																												0																																								0																																								0																																																														1																																								2																																								1																																																																												Anish B																																																												0																																								0																																								0																																																														2																																								1																																								2"
ColHer CZ,Shark HL,"Rema Bhat																																		Corey Fisher																																		Nathan Cho","Neg																												Aff																												Neg","2-1																															NEG","Shahina C																																																												0																																								0																																								0																																																														4																																								2																																								4																																																																												Judy Z																																																												0																																								0																																								0																																																														3																																								1																																								2","Olivia L																																																												0																																								0																																								0																																																														1																																								3																																								1																																																																												Trevor H																																																												0																																								0																																								0																																																														2																																								4																																								3"
FoxCha RM,Reagan AG,"Solomon Park																																		Connor Ferguson																																		Jared Burke","Neg																												Aff																												Neg","2-1																															NEG","Jackson R																																																												0																																								0																																								0																																																														4																																								1																																								4																																																																												Ian M																																																												0																																								0																																								0																																																														3																																								3																																								2","Zaarah A																																																												0																																								0																																								0																																																														1																																								2																																								1																																																																												David G																																																												0																																								0																																								0																																																														2																																								4																																								3"
Elkins JL,SMSOT CY,"Miles Luce																																		Steve Pointer																																		Justin Kim","Neg																												Neg																												Neg","3-0																															NEG","Joshua J																																																												0																																								29																																								0																																																														2																																								4																																								4																																																																												Chloe L																																																												0																																								29																																								0																																																														4																																								3																																								3","David Y																																																												0																																								29																																								0																																																														1																																								1																																								2																																																																												Maxwell C																																																												0																																								29																																								0																																																														3																																								2																																								1"
Jesuit JB,YGBA BC,"Lily Ottinger																																		Nick Pereda																																		Jesse Keleman","Neg																												Neg																												Aff","2-1																															NEG","Justin B																																																												29																																								0																																								0																																																														4																																								4																																								3																																																																												Aarin J																																																												29																																								0																																								0																																																														2																																								2																																								2","Miria C																																																												29																																								0																																								0																																																														3																																								3																																								4																																																																												Ryan B																																																												29																																								0																																								0																																																														1																																								1																																								1"
Westsi KS,Aubrey OM,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",,
Midway PZ,Westwo CH,"Daniel Iskhakov																																		Adam Lipton																																		chaz wyche","Neg																												Neg																												Neg","3-0																															NEG","David P																																																												0																																								0																																								0																																																														3																																								2																																								3																																																																												Neon Z																																																												0																																								0																																								0																																																														4																																								4																																								4","Warren H																																																												0																																								0																																								0																																																														2																																								3																																								2																																																																												Neil C																																																												0																																								0																																								0																																																														1																																								1																																								1"
WinChu AD,,,,,,
Westwo YN,,,,,,
Westsi RY,,,,,,
Reagan KR,,,,,,
LanTec NP,,,,,,
Shark RW,,,,,,
Jesuit MR,,,,,,
