,Team,TrueSkill,Wins,Losses,Win Percentage
1,Montgomery Bell MP,36.39 ± 1.38,37,10,78.72%
2,Minneapolis South CC,36.21 ± 1.07,64,20,76.19%
3,North Broward Prep DR,35.99 ± 1.0,82,25,76.64%
4,Lexington BY,35.73 ± 1.23,46,15,75.41%
5,Caddo Magnet KL,35.4 ± 1.17,45,18,71.43%
6,Glenbrook North BM,35.29 ± 1.2,42,17,71.19%
7,Walter Payton WM,35.05 ± 1.79,25,6,80.65%
8,Bellarmine  HM,34.9 ± 1.23,40,17,70.18%
9,Coppell KC,34.81 ± 1.1,58,20,74.36%
10,New Trier HM,34.79 ± 1.17,44,18,70.97%
11,Glenbrook South MJ,34.56 ± 1.54,23,10,69.7%
12,Caddo Magnet LK,34.48 ± 2.15,12,5,70.59%
13,New Trier RW,34.11 ± 1.13,54,20,72.97%
14,Harvard-Westlake RW,34.04 ± 1.93,14,7,66.67%
15,CK McClatchy TG,34.02 ± 2.06,13,6,68.42%
16,Little Rock Central RG,34.02 ± 2.17,13,4,76.47%
17,Westminster SB,33.91 ± 1.08,49,24,67.12%
18,Chaminade AH,33.85 ± 1.18,36,20,64.29%
19,Lawrence Free State RM,33.79 ± 2.16,12,5,70.59%
20,Little Rock Central LR,33.73 ± 2.01,16,6,72.73%
21,Glenbrook North BC,33.63 ± 1.28,38,16,70.37%
22,CK McClatchy BG,33.63 ± 1.19,46,19,70.77%
23,CK McClatchy PS,33.62 ± 2.24,12,5,70.59%
24,Glenbrook South JM,33.53 ± 1.5,28,12,70.0%
25,McQueen LR,33.46 ± 1.19,49,18,73.13%
26,Peninsula RW,33.41 ± 1.14,47,22,68.12%
27,Greenhill FS,33.39 ± 1.18,43,18,70.49%
28,Northview IA,33.29 ± 2.15,12,5,70.59%
29,Maine East PP,33.18 ± 1.17,46,21,68.66%
30,SF Roosevelt LT,33.16 ± 1.18,44,20,68.75%
31,Edina AA,33.15 ± 1.11,49,23,68.06%
32,Gunn AS,33.09 ± 1.71,21,8,72.41%
33,Montgomery Bell PC,33.08 ± 1.31,32,15,68.09%
34,Mamaroneck RM,33.04 ± 1.34,33,14,70.21%
35,Berkeley Prep KZ,33.03 ± 1.14,41,24,63.08%
36,Archbishop Mitty PA,33.0 ± 1.82,15,7,68.18%
37,Walter Payton MW,32.91 ± 1.35,32,15,68.09%
38,Reagan AG,32.9 ± 1.26,46,16,74.19%
39,Bellarmine  IG,32.89 ± 1.16,45,20,69.23%
40,Liberal Arts and Science GP,32.84 ± 1.06,56,27,67.47%
41,Woodward CH,32.84 ± 1.95,17,6,73.91%
42,Gunn OS,32.82 ± 1.11,56,23,70.89%
43,Mamaroneck DR,32.79 ± 1.06,61,28,68.54%
44,Lawrence Free State MR,32.7 ± 1.59,19,10,65.52%
